case_id,campaign_group,fluid,topology,open_ratio,reynolds_number,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample,holdout_category,raw_data_location
DOE_Case_001,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.0,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_001
DOE_Case_002,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.0,50,700.0,2,1400.0,25.0,0.001398,0.522,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_002
DOE_Case_003,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.0,100,700.0,2,1400.0,25.0,0.002796,1.044,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_003
DOE_Case_004,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.0,150,700.0,2,1400.0,25.0,0.004194,1.566,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_004
DOE_Case_005,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.0,250,700.0,2,1400.0,25.0,0.006991,2.61,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_005
DOE_Case_006,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.0,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_006
DOE_Case_007,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.0,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_007
DOE_Case_008,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.0,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_008
DOE_Case_009,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.0,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_009
DOE_Case_010,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.1,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_010
