# Region type : patch inlet
# Faces        : 832
# Area         : 6.2230000e-03
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
25             	1.0905725e-05
50             	9.7517643e-06
75             	9.5127856e-06
100            	9.4474723e-06
125            	9.4265985e-06
150            	9.4193921e-06
175            	9.4170977e-06
200            	9.4166740e-06
225            	9.4169368e-06
250            	9.4173439e-06
275            	9.4176577e-06
300            	9.4178407e-06
