case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_001,Baseline_OpenRatio_Reynolds,0.0,25,FC-40,Plate-Fin,700.0,0.261,0.78,0.32531,376.41,0.008,4.13,0.0,30739.9,COMPLETED_CONVERGED
DOE_Case_002,Baseline_OpenRatio_Reynolds,0.0,50,FC-40,Plate-Fin,700.0,0.522,,,,,,,,PENDING
DOE_Case_003,Baseline_OpenRatio_Reynolds,0.0,100,FC-40,Plate-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_004,Baseline_OpenRatio_Reynolds,0.0,150,FC-40,Plate-Fin,700.0,1.566,,,,,,,,PENDING
DOE_Case_005,Baseline_OpenRatio_Reynolds,0.0,250,FC-40,Plate-Fin,700.0,2.61,,,,,,,,PENDING
DOE_Case_006,Baseline_OpenRatio_Reynolds,0.0,350,FC-40,Plate-Fin,700.0,3.654,,,,,,,,PENDING
DOE_Case_007,Baseline_OpenRatio_Reynolds,0.0,500,FC-40,Plate-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_008,Baseline_OpenRatio_Reynolds,0.0,750,FC-40,Plate-Fin,700.0,7.83,,,,,,,,PENDING
DOE_Case_009,Baseline_OpenRatio_Reynolds,0.0,1000,FC-40,Plate-Fin,700.0,10.441,,,,,,,,PENDING
DOE_Case_010,Baseline_OpenRatio_Reynolds,0.1,25,FC-40,Plate-Fin,700.0,0.261,,,,,,,,PENDING
DOE_Case_011,Baseline_OpenRatio_Reynolds,0.1,50,FC-40,Plate-Fin,700.0,0.522,,,,,,,,PENDING
DOE_Case_012,Baseline_OpenRatio_Reynolds,0.1,100,FC-40,Plate-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_013,Baseline_OpenRatio_Reynolds,0.1,150,FC-40,Plate-Fin,700.0,1.566,,,,,,,,PENDING
DOE_Case_014,Baseline_OpenRatio_Reynolds,0.1,250,FC-40,Plate-Fin,700.0,2.61,,,,,,,,PENDING
DOE_Case_015,Baseline_OpenRatio_Reynolds,0.1,350,FC-40,Plate-Fin,700.0,3.654,,,,,,,,PENDING
DOE_Case_016,Baseline_OpenRatio_Reynolds,0.1,500,FC-40,Plate-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_017,Baseline_OpenRatio_Reynolds,0.1,750,FC-40,Plate-Fin,700.0,7.83,,,,,,,,PENDING
DOE_Case_018,Baseline_OpenRatio_Reynolds,0.1,1000,FC-40,Plate-Fin,700.0,10.441,,,,,,,,PENDING
DOE_Case_019,Baseline_OpenRatio_Reynolds,0.2,25,FC-40,Plate-Fin,700.0,0.261,,,,,,,,PENDING
DOE_Case_020,Baseline_OpenRatio_Reynolds,0.2,50,FC-40,Plate-Fin,700.0,0.522,,,,,,,,PENDING
DOE_Case_021,Baseline_OpenRatio_Reynolds,0.2,100,FC-40,Plate-Fin,700.0,1.044,,,,,,,,PENDING
