case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_001,Baseline_OpenRatio_Reynolds,0.0,25,FC-40,Plate-Fin,700.0,0.261,0.78,0.32531,376.41,0.008,4.13,0.0,30739.9,COMPLETED_CONVERGED
DOE_Case_002,Baseline_OpenRatio_Reynolds,0.0,50,FC-40,Plate-Fin,700.0,0.522,0.78,0.29908,296.2,0.017,4.52,0.0,33436.0,COMPLETED_CONVERGED
DOE_Case_003,Baseline_OpenRatio_Reynolds,0.0,100,FC-40,Plate-Fin,700.0,1.044,0.78,0.26345,240.34,0.041,5.2,1e-06,37958.4,COMPLETED_CONVERGED
DOE_Case_004,Baseline_OpenRatio_Reynolds,0.0,150,FC-40,Plate-Fin,700.0,1.566,0.78,0.23959,213.33,0.071,5.78,2e-06,41737.3,COMPLETED_CONVERGED
DOE_Case_005,Baseline_OpenRatio_Reynolds,0.0,250,FC-40,Plate-Fin,700.0,2.61,0.78,0.20866,183.43,0.153,6.76,7e-06,47924.7,COMPLETED_CONVERGED
DOE_Case_006,Baseline_OpenRatio_Reynolds,0.0,350,FC-40,Plate-Fin,700.0,3.654,0.78,0.18891,166.07,0.261,7.58,1.6e-05,52935.7,COMPLETED_CONVERGED
DOE_Case_007,Baseline_OpenRatio_Reynolds,0.0,500,FC-40,Plate-Fin,700.0,5.22,0.78,0.16927,149.67,0.473,8.61,4.1e-05,59077.2,COMPLETED_CONVERGED
DOE_Case_008,Baseline_OpenRatio_Reynolds,0.0,750,FC-40,Plate-Fin,700.0,7.83,0.78,0.1491,133.49,0.961,10.01,0.000125,53477.0,COMPLETED_CONVERGED
DOE_Case_009,Baseline_OpenRatio_Reynolds,0.0,1000,FC-40,Plate-Fin,700.0,10.441,0.78,0.13634,123.53,1.617,11.16,0.000281,26074.3,COMPLETED_CONVERGED
DOE_Case_010,Baseline_OpenRatio_Reynolds,0.1,25,FC-40,Plate-Fin,700.0,0.261,14.3,0.3296,379.42,0.006,4.07,0.0,30339.8,COMPLETED_CONVERGED
DOE_Case_011,Baseline_OpenRatio_Reynolds,0.1,50,FC-40,Plate-Fin,700.0,0.522,14.3,0.30545,300.67,0.014,4.42,0.0,32738.2,COMPLETED_CONVERGED
DOE_Case_012,Baseline_OpenRatio_Reynolds,0.1,100,FC-40,Plate-Fin,700.0,1.044,15.91,0.27267,246.79,0.034,5.01,1e-06,36674.0,COMPLETED_CONVERGED
DOE_Case_013,Baseline_OpenRatio_Reynolds,0.1,150,FC-40,Plate-Fin,700.0,1.566,16.86,0.25016,220.73,0.06,5.51,2e-06,39973.8,COMPLETED_CONVERGED
DOE_Case_014,Baseline_OpenRatio_Reynolds,0.1,250,FC-40,Plate-Fin,700.0,2.61,18.05,0.22021,191.51,0.127,6.36,6e-06,45412.1,COMPLETED_CONVERGED
DOE_Case_015,Baseline_OpenRatio_Reynolds,0.1,350,FC-40,Plate-Fin,700.0,3.654,18.84,0.20059,174.25,0.217,7.07,1.3e-05,49852.1,COMPLETED_CONVERGED
DOE_Case_016,Baseline_OpenRatio_Reynolds,0.1,500,FC-40,Plate-Fin,700.0,5.22,19.67,0.18071,157.68,0.395,7.98,3.4e-05,55337.6,COMPLETED_CONVERGED
DOE_Case_017,Baseline_OpenRatio_Reynolds,0.1,750,FC-40,Plate-Fin,700.0,7.83,20.62,0.15989,141.05,0.802,9.21,0.000105,59770.8,COMPLETED_CONVERGED
DOE_Case_018,Baseline_OpenRatio_Reynolds,0.1,1000,FC-40,Plate-Fin,700.0,10.441,21.29,0.14651,130.65,1.349,10.23,0.000235,29081.3,COMPLETED_CONVERGED
DOE_Case_019,Baseline_OpenRatio_Reynolds,0.2,25,FC-40,Plate-Fin,700.0,0.261,24.37,0.33294,381.76,0.006,4.02,0.0,30035.2,COMPLETED_CONVERGED
DOE_Case_020,Baseline_OpenRatio_Reynolds,0.2,50,FC-40,Plate-Fin,700.0,0.522,24.37,0.31054,304.23,0.013,4.34,0.0,32201.5,COMPLETED_CONVERGED
DOE_Case_021,Baseline_OpenRatio_Reynolds,0.2,100,FC-40,Plate-Fin,700.0,1.044,27.13,0.28033,252.15,0.03,4.86,1e-06,35672.9,COMPLETED_CONVERGED
DOE_Case_022,Baseline_OpenRatio_Reynolds,0.2,150,FC-40,Plate-Fin,700.0,1.566,28.74,0.25918,227.04,0.053,5.3,1e-06,38582.9,COMPLETED_CONVERGED
DOE_Case_023,Baseline_OpenRatio_Reynolds,0.2,250,FC-40,Plate-Fin,700.0,2.61,30.77,0.23045,198.68,0.113,6.04,5e-06,43392.8,COMPLETED_CONVERGED
DOE_Case_024,Baseline_OpenRatio_Reynolds,0.2,350,FC-40,Plate-Fin,700.0,3.654,32.11,0.21125,181.71,0.193,6.66,1.2e-05,47337.9,COMPLETED_CONVERGED
