case_id,A_bins_sum_m2,A_fin_full_m2,A_wetted,A_wetted_cell_m2,A_wetted_full_m2,D_h,D_h_m,D_h_over_L,H_fin,H_fin_m,N_fin,Nu,Nu_B0,Nu_B1,Nu_B2,Nu_B3,Nu_B4,Nu_cell,Nu_edge,Nu_field,Nu_lmtd,OR,P_TDP,P_sink_W,Phi_X0,Phi_X1,Phi_X2,Phi_X3,Phi_X4,Phi_X5,Phi_eff,Phi_in,Phi_mid,Phi_out,Pr,Pr_film,Pr_inlet,Q_LPM,Q_bins_sum_W,Q_full_sink_LPM,Q_in_W,Q_wall_fluid_W,R_TIM_K_W,R_base_K_W,R_spread_K_W,R_th_K_W,Re_active,Re_ch,Re_label,Re_recomputed_ch_Eq1_140mm,Rth_field,T_base_max_K,T_base_mean_K,T_ch_in_K,T_ch_out_K,T_chip_max_C,T_cl_out_K,T_in_K,T_out_bulk_K,T_out_over_T_wall_mean,T_wall_max_K,T_wall_mean_K,Tchip_field,W_pump_W,accepted,cells,clearance_m,converged,cp_inlet,dH_W,dT_B0_K,dT_B1_K,dT_B2_K,dT_B3_K,dT_B4_K,dT_lmtd_K,dT_wall_bulk_am_K,dT_wall_bulk_bins_K,dT_wall_chbulk_K,dp_field,dp_sink_Pa,energy_balance_pct,fluid,geometry_label,grid,h_W_m2K,h_cell_W_m2K,h_edge_W_m2K,h_lmtd_W_m2K,iterations,k,k_film,m_full_kg_s,m_in_kg_s,mass_split_closure_pct,partitions,passed_energy,passed_mass_split,passed_validity_envelope,phi_eff_field,phi_field,res_Ux_initial,res_Uy_initial,res_Uz_initial,res_h_initial,res_p_rgh_initial,residuals_met,run,solver_rc,stationarity_max_var,stationary,stop_type,t_fin,thermal_data_source,u_in_m_s
C091,,0.0,0.0130685,5.6049999999999994e-05,0.0130685,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.0,0.0,117,nan,nan,nan,nan,nan,nan,2.339099989700141,nan,nan,2.339368181214083,1.0,700.0,700.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,67.54263703321114,16.092063695440135,67.54263703321114,0.6501092434627032,,0.6501092434627032,3.00000132,2.73967146,0.006,0.9247985357142857,MISSING,0.9307985357142857,0.0,2,2,2,0.9307985357142857,945.508975,925.511812,nan,nan,676.558975,318.752641,298.15,320.976396,0.036413627654180214,945.124597,925.014102,676.558975,2.0586792709904542e-07,False,51800,0.039950000000000006,False,1052.1325,2.72780833435,nan,nan,nan,nan,nan,615.3803470389256,615.450904,nan,nan,0.01900000000023283,0.01900000000023283,9.073095529504627,FC-40,Plate-Fin,medium,nan,79.41992172727126,nan,79.42902768646026,4053,0.06301265,0.06301265,0.0200991545586,8.58938229e-05,0.0,calibration,False,True,n,nan,1.0,4.4187498e-05,2.7081339e-05,4.7876259e-05,7.8691407e-06,7.6485264e-05,False,rc=0 wall_s=1301 iterations=4053 end=2026-09-05_00:03:02 host=SalmiahFRGS21,0,0.0033544990939932268,True,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.0019317512377850727
C092,,0.0,0.0130685,5.6049999999999994e-05,0.0130685,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.0,0.0,117,nan,nan,nan,nan,nan,nan,2.8868128284301253,nan,nan,2.8868535192127043,1.0,700.0,700.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,67.54263703321114,16.092063695440135,67.54263703321114,1.6252731086567578,,1.6252731086567578,3.00000132,2.65026291,0.006,0.7225632542857144,MISSING,0.7285632542857144,0.0,5,5,5,0.7285632542857144,803.944278,784.192088,nan,nan,534.9942780000001,303.810838,298.15,304.423904,0.012921379341979452,803.559754,783.694448,534.9942780000001,1.4356579126436492e-06,False,51800,0.039950000000000006,False,1052.1325,1.63966978,nan,nan,nan,nan,nan,482.400696369051,482.407496,nan,nan,0.052999999999883585,0.052999999999883585,45.34436471514619,FC-40,Plate-Fin,medium,nan,98.0165233999228,nan,98.01790498206196,4016,0.06301265,0.06301265,0.05024793852,0.00021473478,0.0,calibration,False,True,n,nan,1.0,4.340635e-05,1.7266735e-05,4.9055398e-05,6.6326238e-06,6.2444536e-05,False,rc=0 wall_s=1161 iterations=4016 end=2026-09-05_00:22:35 host=SalmiahFRGS21,0,0.0036661309504339855,True,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.004829378094462681
C093,,0.0,0.0130685,5.6049999999999994e-05,0.0130685,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.0,0.0,117,nan,nan,nan,nan,nan,nan,3.1241550824130586,nan,nan,3.1242433913804284,1.0,700.0,700.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,67.54263703321114,16.092063695440135,67.54263703321114,3.2505462173135156,,3.2505462173135156,3.00000132,2.60618203,0.006,0.6610954500000001,MISSING,0.6670954500000001,0.0,10,10,10,0.6670954500000001,760.916815,741.030034,nan,nan,491.96681500000005,303.931318,298.15,306.222937,0.018248821180358886,760.533279,740.531287,491.96681500000005,6.717795515573138e-06,False,51800,0.039950000000000006,False,1052.1325,3.8373882736,nan,nan,nan,nan,nan,438.3324283711194,438.34481850000003,nan,nan,0.1239999999961583,0.1239999999961583,27.912886171663413,FC-40,Plate-Fin,medium,nan,106.07505160175275,nan,106.07804997347999,4057,0.06301265,0.06301265,0.100495876806,0.000429469559,0.0,calibration,False,True,n,nan,1.0,3.9243645e-05,1.4258034e-05,4.8070272e-05,8.088887e-06,5.9099563e-05,False,rc=0 wall_s=1081 iterations=4057 end=2026-09-05_00:40:48 host=SalmiahFRGS21,0,0.004721433314625877,True,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.009658756188925362
C094,,0.0,0.0130685,5.6049999999999994e-05,0.0130685,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.0,0.0,117,nan,nan,nan,nan,nan,nan,3.469825381513774,nan,nan,3.469838195590938,1.0,700.0,700.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,67.54263703321114,16.092063695440135,67.54263703321114,6.501092434627031,,6.501092434627031,3.00000132,2.48611599,0.006,0.5675619057142858,MISSING,0.5735619057142858,0.0,20,20,20,0.5735619057142858,695.443334,676.39227,nan,nan,426.49333400000006,299.988163,298.15,300.65632,0.0066349229930981165,695.039652,675.89666,426.49333400000006,3.261381371444387e-05,False,51800,0.039950000000000006,False,1052.1325,2.568987553,nan,nan,nan,nan,nan,376.4921096133339,376.49350000000004,nan,nan,0.3010000000067521,0.3010000000067521,14.3671192451342,FC-40,Plate-Fin,medium,nan,117.81166321258884,nan,117.81209829146954,4029,0.06301265,0.06301265,0.200991545586,0.000858938229,0.0,calibration,False,True,n,nan,1.0,3.1122576e-05,9.1950023e-06,4.878484e-05,6.3621353e-06,2.9610018e-05,False,rc=0 wall_s=1041 iterations=4029 end=2026-09-05_00:58:21 host=SalmiahFRGS21,0,0.004020800636504503,True,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.019317512377850725
C095,,0.0,0.0130685,5.6049999999999994e-05,0.0130685,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.0,0.0,117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,700.0,700.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,67.54263703321114,nan,67.54263703321114,13.002184869254062,,13.002184869254062,3.00000132,2.40810238,0.006,nan,MISSING,nan,nan,40,40,40,nan,nan,nan,nan,nan,nan,298.15,298.15,nan,nan,nan,nan,nan,nan,False,51800,0.039950000000000006,False,1052.1325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FC-40,Plate-Fin,medium,nan,nan,nan,nan,15,nan,nan,nan,nan,nan,calibration,False,False,n,nan,nan,0.015747062,0.97832423,0.99897911,0.012816729,0.4898363,False,rc=136 wall_s=5 iterations=16 end=2026-09-05_00:58:39 host=SalmiahFRGS21,136,nan,False,diverged,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.03863502475570145
C096,,0.0,0.0130685,5.6049999999999994e-05,0.0130685,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.0,0.0,117,nan,nan,nan,nan,nan,nan,5.6212084370133075,nan,nan,5.621212464037683,1.0,700.0,700.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,67.54263703321114,16.092063695440135,67.54263703321114,22.75382352119461,,22.75382352119461,3.00000132,2.7449268,0.006,0.37484540000000005,MISSING,0.38084540000000006,0.0,70,70,70,0.38084540000000006,560.54178,555.611088,nan,nan,291.59178,298.940296,298.15,298.902337,0.002927732628088702,560.086605,555.119162,291.59178,0.000692853926222186,False,51800,0.039950000000000006,False,1052.1325,2.454257893,nan,nan,nan,nan,nan,256.59280967733787,256.5929935,nan,nan,1.827000000004773,1.827000000004773,18.191439562433263,FC-40,Plate-Fin,medium,nan,190.85799497502632,nan,190.8581317053765,4064,0.06301265,0.06301265,0.7034709286799999,0.00300628602,0.0,calibration,False,True,n,nan,1.0,1.3785192e-06,4.175187e-06,1.3435647e-05,4.9481258e-07,8.2409768e-06,True,rc=0 wall_s=1021 iterations=4064 end=2026-09-05_01:15:46 host=SalmiahFRGS21,0,0.0002885688741269749,True,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.06761129332247755
C097,,0.0,0.0130685,5.6049999999999994e-05,0.0130685,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.0,0.0,117,nan,nan,nan,nan,nan,nan,5.120424316421579,nan,nan,5.12042629982695,1.0,700.0,700.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,67.54263703321114,16.092063695440135,67.54263703321114,32.505462173135165,,32.505462173135165,3.00000132,2.42548164,0.006,0.35822835142857146,MISSING,0.36422835142857146,0.0,100,100,100,0.36422835142857146,548.909846,547.816479,nan,nan,279.959846,298.679928,298.15,298.686635,0.002153651002411385,548.437882,547.324541,279.959846,0.0016355665050117104,False,51800,0.039950000000000006,False,1052.1325,2.498211753,nan,nan,nan,nan,nan,248.90612708577353,248.90622349999995,nan,nan,3.019000000000233,3.019000000000233,16.726311540422916,FC-40,Plate-Fin,medium,nan,173.85477329370175,nan,173.8548406366542,3463,0.06301265,0.06301265,1.0049587680599998,0.00429469559,0.0,calibration,False,True,n,nan,1.0,8.0616658e-07,2.8280579e-06,9.150097e-06,2.7262533e-07,5.4281276e-06,True,rc=0 wall_s=801 iterations=3463 end=2026-09-05_01:29:19 host=SalmiahFRGS21,0,6.199475274711571e-05,True,converged,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.09658756188925363
C098,,0.0,0.0130685,5.6049999999999994e-05,0.0130685,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.0,0.0,117,nan,nan,nan,nan,nan,nan,5.465102335261427,nan,nan,5.465103361563596,1.0,700.0,700.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,67.54263703321114,16.092063695440135,67.54263703321114,48.75819325970274,,48.75819325970274,3.00000132,2.40196573,0.006,0.3341412285714286,MISSING,0.3401412285714286,0.0,150,150,150,0.3401412285714286,532.04886,529.762231,nan,nan,263.09886,298.492244,298.15,298.49669,0.0015000413788853512,531.576723,529.270291,263.09886,0.004355731931200584,False,51800,0.039950000000000006,False,1052.1325,2.402001458,nan,nan,nan,nan,nan,230.94690263003318,230.94694600000003,nan,nan,5.360000000000582,5.360000000000582,19.93331996267255,FC-40,Plate-Fin,medium,nan,185.55769381779658,nan,185.55772866403584,2655,0.06301265,0.06301265,1.5074339904,0.0064420256,0.0,calibration,False,True,n,nan,1.0,8.5340774e-07,2.7437965e-06,8.9221684e-06,1.7211395e-07,4.9094403e-06,True,rc=0 wall_s=621 iterations=2655 end=2026-09-05_01:39:51 host=SalmiahFRGS21,0,3.5298650662588926e-05,True,converged,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.14488134283388046
C099,,0.0,0.0130685,5.6049999999999994e-05,0.0130685,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.0,0.0,117,nan,nan,nan,nan,nan,nan,6.4734332318501,nan,nan,6.473433856476523,1.0,700.0,700.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,67.54263703321114,16.092063695440135,67.54263703321114,81.26365543283791,,81.26365543283791,3.00000132,2.77547245,0.006,0.3246417557142857,MISSING,0.3306417557142857,0.0,250,250,250,0.3306417557142857,525.399229,524.055254,nan,nan,256.449229,298.39293,298.15,298.392426,0.0010754733017921754,524.919833,523.563313,256.449229,0.016046863159468534,False,51800,0.039950000000000006,False,1052.1325,2.77551556,nan,nan,nan,nan,nan,225.2920782613986,225.2921,nan,nan,11.847999999998137,11.847999999998137,7.482855374210298,FC-40,Plate-Fin,medium,nan,219.79375094869656,nan,219.79377215676027,1949,0.06301265,0.06301265,2.512396926,0.010736739,0.0,calibration,False,True,n,nan,1.0,8.327338e-07,2.2273011e-06,7.9137403e-06,2.8146147e-07,3.1631026e-06,True,rc=0 wall_s=440 iterations=1949 end=2026-09-05_01:47:23 host=SalmiahFRGS21,0,3.190050510004757e-05,True,converged,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.2414689047231341
E001,0.00477514375,1.1030994,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,117,8.472270801876109,9.554449231278504,8.106230327834773,8.203960593003396,8.296662056987957,8.08458048254002,7.9136727944360485,7.950129386514218,8.472270801876109,nan,0.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.96636408243374,80.696012336601,94.96636408243374,3.9454500843698033,2.9997862410000002,3.9454500843698033,3.00000132,3.00000132,0.006,0.018236117142857163,MISSING,0.024236117142857165,10.0,10,10,10,0.024236117142857165,310.915282,308.944595,298.231167,302.940859,41.965282000000016,nan,298.15,303.001156,1.03190836284738,310.485254,302.85115,41.965282000000016,0.007203076704030717,True,51800,0.0,True,1165.0,3.0000442885,2.2838064999999688,2.2033519999999953,2.1586034999999697,2.0751129999999876,1.8940979999999854,nan,2.275572000000068,2.123162773874459,2.2651370000000384,109.5399999999936,109.5399999999936,0.001432282703123991,EFL-1,Plate-Fin,medium,295.88337772218847,276.3750464736583,277.6482469952871,nan,4530,0.06481384939250877,0.06481384939250877,0.12421580020200002,0.000530836753,0.0,holdout_EFL-1,True,True,y,0.0,0.0,1.1812481e-06,3.9926307e-08,9.9620158e-06,2.8480039e-07,9.3959344e-08,True,rc=0 wall_s=561 iterations=4530 end=2026-09-05_04:07:27 host=SalmiahFRGS21,0,2.02431645249743e-06,True,converged,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.011723611317238316
