case_id,A_bins_sum_m2,A_fin_full_m2,A_wetted,A_wetted_cell_m2,A_wetted_full_m2,D_h,D_h_m,D_h_over_L,H_fin,H_fin_m,N_fin,Nu,Nu_B0,Nu_B1,Nu_B2,Nu_B3,Nu_B4,Nu_cell,Nu_edge,Nu_field,Nu_lmtd,OR,P_TDP,P_sink_W,Phi_X0,Phi_X1,Phi_X2,Phi_X3,Phi_X4,Phi_X5,Phi_eff,Phi_in,Phi_mid,Phi_out,Pr,Pr_film,Pr_inlet,Q_LPM,Q_bins_sum_W,Q_full_sink_LPM,Q_in_W,Q_wall_fluid_W,R_TIM_K_W,R_base_K_W,R_spread_K_W,R_th_K_W,Re_active,Re_ch,Re_label,Re_recomputed_ch_Eq1_140mm,Rth_field,T_base_max_K,T_base_mean_K,T_ch_in_K,T_ch_out_K,T_chip_max_C,T_cl_out_K,T_in_K,T_out_bulk_K,T_out_over_T_wall_mean,T_wall_max_K,T_wall_mean_K,Tchip_field,W_pump_W,accepted,cells,clearance_m,converged,cp_inlet,dH_W,dT_B0_K,dT_B1_K,dT_B2_K,dT_B3_K,dT_B4_K,dT_lmtd_K,dT_wall_bulk_am_K,dT_wall_bulk_bins_K,dT_wall_chbulk_K,dp_field,dp_sink_Pa,energy_balance_pct,fluid,geometry_label,grid,h_W_m2K,h_cell_W_m2K,h_edge_W_m2K,h_lmtd_W_m2K,iterations,k,k_film,m_full_kg_s,m_in_kg_s,mass_split_closure_pct,partitions,passed_energy,passed_mass_split,passed_validity_envelope,phi_eff_field,phi_field,res_Ux_initial,res_Uy_initial,res_Uz_initial,res_h_initial,res_p_rgh_initial,residuals_met,run,solver_rc,stationarity_max_var,stationary,stop_type,t_fin,thermal_data_source,u_in_m_s
F001,0.0025248625000000003,0.5770907999999999,0.5901593,0.0025222499999999998,0.5901593,0.0018173913043478263,0.0018173913043478263,0.015401621223286664,0.0209,0.0209,117,8.821780042348124,12.16273853104104,8.857211515614267,8.266970688924832,7.9736541918537664,7.557427165046047,8.703953405593724,8.624846523783706,8.821780042348124,9.238143704648769,0.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.54263703321114,62.689582033307154,67.54263703321114,6.946154997388782,2.997714623,6.946154997388782,3.00000132,2.99792015,0.006,0.01529357428571432,MISSING,0.02129357428571432,40.0,40,40,40,0.02129357428571432,308.855502,307.310284,298.199198,301.128145,39.90550200000003,nan,298.15,301.247179,0.578304364703928,308.421712,303.505621,39.90550200000003,0.03537074740070399,True,51800,0.0,True,1052.1325,2.9979346309999997,3.147098500000027,3.632193499999971,3.911871000000019,4.033712000000037,4.038456499999995,3.5868921126387,3.8070314999999937,3.752039713056166,3.8419494999999984,305.5280000000057,305.5280000000057,0.0688896030219176,FC-40,Plate-Fin,medium,316.43544755674407,312.20903017198685,309.3714824854421,331.37032704750504,1800,0.06518945473775,0.06518945473775,0.214751597814,0.000917741871,0.0,fixed_fin_sweep,True,True,y,0.0,0.0,4.8742925e-07,2.1428494e-08,7.205221e-06,1.1957384e-07,1.2721573e-07,True,rc=0 wall_s=380 iterations=1800 end=2026-09-05_01:53:26 host=Azan,0,7.15325613031252e-06,True,converged,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.03945298121446574
F002,0.0025396124999999994,0.5770907999999999,0.5901593,0.0025222499999999998,0.5901593,0.0018173913043478263,0.0018173913043478263,0.015401621223286664,0.0209,0.0209,117,8.074218182430897,10.11442002634302,7.826672940065499,7.679371207014349,7.473173532948173,6.830722386939052,3.39229739176772,8.794582401058609,8.074218182430897,3.420631607124059,0.1930501930501931,700.0,700.0,0.40956250610778866,0.6963854742387344,0.7857062753720915,0.8280219372470397,0.8477037350030628,0.8524472502754363,0.7965530797355711,0.40956250610778866,0.8107001173787228,0.8524472502754363,67.54263703321114,58.451212316550254,67.54263703321114,6.946154997388782,2.997696821,6.946154997388782,3.00000132,2.99785297,0.006,0.029855767142857172,MISSING,0.035855767142857174,23.617499755688453,40,40,40,0.035855767142857174,319.049037,313.503041,298.255283,313.162166,50.099037000000024,299.138991,298.15,301.229103,0.27156441713192503,318.645783,309.488389,50.099037000000024,0.0070754692495899815,True,66080,0.005000000000000001,True,1052.1325,2.9976951565,4.46175599999998,4.533317000000011,4.343887499999994,3.920253999999943,3.1814600000000155,9.717670509848661,9.79883749999999,4.088519244116956,3.779664499999967,61.11699999999837,61.11699999999837,0.07687208284295437,FC-40,Plate-Fin,medium,288.70493333623136,121.29632494673464,314.4625607643901,122.30945433843054,10240,0.06498336105274999,0.06498336105274999,0.21475166029200002,0.000917742138,1.1813799624023632e-14,fixed_fin_sweep,True,True,y,0.7965530797355711,0.40956250610778866,5.9590213e-08,7.0325748e-09,4.8509717e-07,9.7520762e-07,1.1643428e-07,True,rc=0 wall_s=2495 iterations=10240 end=2026-09-05_02:13:15 host=Azan,0,5.233384140723287e-05,True,converged,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.03183657557460749
F003,0.0025396124999999994,0.5770907999999999,0.5901593,0.0025222499999999998,0.5901593,0.0018173913043478263,0.0018173913043478263,0.015401621223286664,0.0209,0.0209,117,7.260925067220643,9.561931695633568,7.924996433625874,7.1094495977153045,5.535670283363529,3.106822089626344,1.2409823371511388,3.925451091339618,7.260925067220643,1.2420730482704851,0.3236245954692557,700.0,700.0,0.67798809465461,0.9050454424144807,0.9481470319979253,0.9599025262969241,0.9599737185849075,0.9546980502436894,0.9458459832661319,0.6779881336785437,0.9562595170554361,0.9546980502436894,67.54263703321114,46.26176474082642,67.54263703321114,6.946154997388782,2.995011855,6.946154997388782,3.00000132,2.99568475,0.006,0.06612622571428574,MISSING,0.07212622571428574,12.88047465285825,40,40,40,0.07212622571428574,344.438358,330.663033,298.45895,337.553049,75.48835800000002,299.420136,298.15,300.92155,0.0976088396407807,344.064966,326.544457,75.48835800000002,0.0013910833074774376,False,66080,0.010000000000000002,False,1052.1325,2.6962373080999997,7.397046499999988,5.281930499999987,3.64779649999997,2.987301499999944,3.5890924999999925,26.984964659206494,27.00868200000002,4.583530744742038,8.538457499999993,12.01600000000326,12.01600000000326,10.125462608129794,FC-40,Plate-Fin,medium,257.2947596458222,43.97487223817816,139.100456993735,44.01352216951572,4008,0.06440023199599999,0.06440023199599999,0.21475128542400002,0.000917740536,1.96133865967489e-06,fixed_fin_sweep,False,True,n,0.9458459832661319,0.6779881336785437,0.00048229563,0.0019244996,0.0035024021,0.0010646535,0.014950959,False,rc=0 wall_s=889 iterations=4008 end=2026-09-05_01:46:25 host=Azan,0,0.2607512648635688,False,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.026685026128878124
F004,0.0025396124999999994,0.5770907999999999,0.5901593,0.0025222499999999998,0.5901593,0.0018173913043478263,0.0018173913043478263,0.015401621223286664,0.0209,0.0209,117,6.206402824633649,8.853064928248086,6.923573018953402,4.506577569112416,2.5088034237390513,1.7671639209068737,0.626509483342053,1.4953851194475363,6.206402824633649,0.6266738858105297,0.4768460575719651,700.0,700.0,0.8425828718263707,0.9622230036889856,0.9871789476688619,0.9937250675360246,0.9941051810867849,0.9887282111836138,0.9896051499544927,0.8425884441973298,0.9920708580817974,0.9887282111836138,67.54263703321114,26.097454429509117,67.54263703321114,6.946154997388782,2.9685448051,6.946154997388782,3.00000132,2.9730979,0.006,0.11261137571428573,MISSING,0.11861137571428573,6.2964622321068076,40,40,40,0.11861137571428573,376.977963,357.724742,299.227144,362.705702,108.02796300000001,300.332244,298.15,301.172657,0.054571231147702876,376.584857,353.539203,108.02796300000001,0.000344413518621201,False,66080,0.019050000000000008,False,1052.1325,2.9562587075,12.732943999999975,4.5179665,1.7020145000000184,1.5987554999999816,6.376944500000036,53.86374010607579,53.87787450000002,5.393283085982609,22.572780000000023,2.9750000000058208,2.9750000000058208,1.458086441775299,FC-40,Plate-Fin,medium,216.73194867647646,21.87815148737638,52.2198993712273,21.883892537122417,4078,0.06346458166325,0.06346458166325,0.21475167597,0.000917742205,2.1792612142190786e-07,fixed_fin_sweep,False,True,n,0.9896051499544927,0.8425884441973298,0.00026328729,0.00055261628,0.0016959213,0.00045175249,0.011741341,False,rc=0 wall_s=942 iterations=4078 end=2026-09-05_01:47:15 host=Azan,0,0.09402006223925674,False,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.020639982662886955
X003,0.0040820296869999995,0.9376344900000001,0.95070299,0.004063035,0.95070299,0.0018482919143450547,0.0018482919143450547,0.01566349079953436,0.0339575,0.0339575,117,9.392710485575249,14.744805230585943,9.810973669317526,8.650178075150007,8.08560583108653,7.589500574683796,7.893348892849238,9.66125464819888,9.392710485575249,7.929914383883306,0.15,700.0,700.0,0.26722791565839815,0.44755900945595173,0.5315768143842852,0.590519516083816,0.6352444808241728,0.6667970210067614,0.5579750326277906,0.26722791565839815,0.5632531491471574,0.6667970210067614,67.54263703321114,65.25243223885526,67.54263703321114,34.678619217870285,2.9981536060000002,34.678619217870285,3.00000132,2.99836463,0.006,0.013123324285714295,MISSING,0.019123324285714297,91.59651054270024,125,125,125,0.019123324285714297,307.336327,306.030109,298.162798,299.726633,38.38632700000001,298.252862,298.15,298.771184,0.21012701646117216,306.900646,301.106231,38.38632700000001,0.25231122984345955,True,66080,0.005992500000000005,True,1052.1325,2.99774765,1.6184045000000538,2.0677985000000376,2.3539390000000253,2.5011334999999804,2.5258849999999597,2.6334397397745923,2.64563899999996,2.2128133622366866,2.1615154999999504,436.5420000000013,436.5420000000013,0.07512230027952073,FC-40,Plate-Fin,medium,331.9196282301696,278.93518426114707,341.40944256633026,280.227335680987,2073,0.0653149446065,0.0653149446065,1.0721456623799999,0.00458181907,0.0,cross_combinations,True,True,y,0.5579750326277906,0.26722791565839815,4.9179371e-07,3.2604328e-08,4.5754539e-06,8.4321263e-07,6.0823528e-07,True,rc=0 wall_s=409 iterations=2073 end=2026-09-05_03:26:51 host=Azan,0,0.00018453553178102603,True,converged,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.10304493632790712
X004,0.003138210937,0.71701461,0.73008311,0.0031202150000000004,0.73008311,0.0018329432525308815,0.0018329432525308815,0.015533417394329506,0.025967500000000004,0.025967500000000004,117,5.889247402504942,6.93650541574721,6.700545035052662,5.7452728229967835,3.826634668148178,1.5948244923190191,0.4711664416017495,1.227595992941567,5.889247402504942,0.4716354002634375,0.35,700.0,700.0,0.7920599022759156,0.9319539760578802,0.9663023897106886,0.9758217712073062,0.9779734400775586,0.9711592847451979,0.96685933095823,0.7920586275492919,0.9739477633226954,0.9711592847451979,67.54263703321114,19.555156139857097,67.54263703321114,3.2089209463766473,3.020471891,3.2089209463766473,3.00000132,2.99148692,0.006,0.12262027714285718,MISSING,0.12862027714285718,3.1191205867606215,15,15,15,0.12862027714285718,383.984194,365.43129,300.32602,375.185904,115.03419400000003,302.538238,298.15,304.597045,0.10353716093322063,383.613914,360.417933,115.03419400000003,8.530381515790814e-05,False,66080,0.013982500000000002,False,1052.1325,2.9364330726,14.336056499999927,3.062199499999963,1.5409354999999323,1.311012500000004,3.4113229999999817,58.98570119252911,59.044410500000026,4.742238821194421,22.661970999999994,1.5950000000011642,1.5950000000011642,2.118940647666119,FC-40,Plate-Fin,medium,202.95943507595965,16.23767321671132,42.306286729091624,16.25383480384547,4052,0.06316819478524999,0.06316819478524999,0.099208927584,0.000423969776,5.660780904566454e-07,cross_combinations,False,True,n,0.96685933095823,0.7920586275492919,0.00019002854,0.0001992255,0.0009833204,0.00019212968,0.0048122812,False,rc=0 wall_s=822 iterations=4052 end=2026-09-05_03:22:10 host=Azan,0,0.04426014448421501,False,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.00953506979396327
X005,0.003138210937,0.71701461,0.73008311,0.0031202150000000004,0.73008311,0.0018329432525308815,0.0018329432525308815,0.015533417394329506,0.025967500000000004,0.025967500000000004,117,8.179711772610519,9.830153285925695,8.406862251783954,7.859431202097728,6.698510058328216,3.957783944542491,1.2542423327021244,6.127811244401525,8.179711772610519,1.254969160366421,0.35,700.0,700.0,0.717080236903426,0.9130745237211826,0.956359636593313,0.9725663730741829,0.978840959150545,0.9800134602691282,0.9654971421401203,0.717080236903426,0.9662921786924229,0.9800134602691282,67.54263703321114,50.79752703089044,67.54263703321114,11.766043470047704,2.997435602,11.766043470047704,3.00000132,2.99745311,0.006,0.05758404428571428,MISSING,0.06358404428571428,15.560586970311569,55,55,55,0.06358404428571428,338.458831,325.529186,298.337783,334.332775,69.508831,299.249547,298.15,299.96087,0.08001245650529282,338.089334,320.782351,69.508831,0.003565307272148339,False,66080,0.013982500000000002,False,1052.1325,2.9989171691000003,5.454405500000007,4.425347999999985,3.1909914999999955,2.0654370000000313,1.4146760000000427,21.714332644083893,21.726916000000017,3.312389439492765,4.4470719999999915,18.180999999996857,18.180999999996857,0.03613834743245019,FC-40,Plate-Fin,medium,288.3542377531242,44.2150165993682,216.01987815647712,44.24063899816933,12000,0.06461559638299999,0.06461559638299999,0.36376582554000003,0.00155455481,1.286542099373665e-07,cross_combinations,True,True,y,0.9654971421401203,0.717080236903426,1.3009837e-07,6.4182669e-08,9.0423079e-07,2.5319797e-06,2.3374001e-06,False,rc=0 wall_s=2473 iterations=12000 end=2026-09-05_03:33:57 host=Azan,0,0.00042748713019898717,True,cap,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.034961922577865324
X006,0.003138210937,0.71701461,0.73008311,0.0031202150000000004,0.73008311,0.0018329432525308815,0.0018329432525308815,0.015533417394329506,0.025967500000000004,0.025967500000000004,117,8.810435623877844,13.81649247954564,8.793161012573536,7.872505642840988,7.61759004066512,7.265090894240749,5.3554129974587665,11.435256192928135,8.810435623877844,5.359853055786587,0.35,700.0,700.0,0.5649717744293885,0.7774106910924166,0.863959017903984,0.9110728713199263,0.9384993281041448,0.952901165504548,0.9021790149623563,0.5649717744293885,0.8907864144123471,0.952901165504548,67.54263703321114,63.649720473134195,67.54263703321114,42.785612618355295,2.9979994939999997,42.785612618355295,3.00000132,2.99819933,0.006,0.01788418857142858,MISSING,0.02388418857142858,87.0056451141223,200,200,200,0.02388418857142858,310.668932,307.826908,298.168942,303.994188,41.71893200000001,298.383977,298.15,298.652466,0.09493875138686585,310.248412,303.442528,41.71893200000001,0.14843612585685703,True,66080,0.013982500000000002,True,1052.1325,2.9974662100000002,2.3651345000000106,3.0739544999999566,3.436677999999972,3.4170480000000225,2.943561999999986,5.037118832553836,5.041294999999991,3.046569843097992,2.3609629999999697,208.1579999999958,208.1579999999958,0.08450362948506068,FC-40,Plate-Fin,medium,313.5727283419903,190.6048164587991,406.9928703625055,190.76284283380363,7061,0.06523639024549999,0.06523639024549999,1.32278292432,0.00565291848,1.7689978836212956e-07,cross_combinations,True,True,y,0.9021790149623563,0.5649717744293885,4.1040593e-07,1.8235111e-08,5.1438028e-06,9.3887842e-07,5.5542214e-07,True,rc=0 wall_s=1609 iterations=7061 end=2026-09-05_03:19:29 host=Azan,0,1.2676966032951909e-05,True,converged,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.12713426391951027
X007,0.0017224828129999998,0.38608479,0.39915329,0.0017059850000000001,0.39915329,0.0017791227189017246,0.0017791227189017246,0.015077311177133259,0.013982500000000002,0.013982500000000002,117,1.0979833877726717,0.7839889104956942,2.700824204309377,2.582591521015429,3.2317492958656935,1.101940738642862,0.10011510075417326,0.2593750994739257,1.0979833877726717,0.10013788615007035,0.65,700.0,700.0,0.9695849900587623,0.9984288192402069,0.997822679631214,0.996977879441066,0.996699585751555,0.9931603321918602,0.9972514970058689,0.9695676222918012,0.9986644986576347,0.9931603321918602,67.54263703321114,16.092063695440135,67.54263703321114,0.8307370898049842,2.721593954,0.8307370898049842,3.00000132,2.78485622,0.006,0.69531191,MISSING,0.70131191,0.2130266439573919,7,7,7,0.70131191,784.868337,774.230332,458.369323,727.330936,515.9183370000001,316.943054,298.15,322.203945,0.05091902261409058,784.415156,770.546047,515.9183370000001,6.922809082111162e-07,False,66080,0.025967500000000004,False,1052.1325,3.4269677844600004,145.03943900000002,9.155571500000065,9.745178499999952,7.736424499999998,30.944999000000053,460.2643220229453,460.36907450000007,40.63037457665154,177.69591750000006,0.05000000000291038,0.05000000000291038,14.232209219827958,FC-40,Plate-Fin,medium,38.88817909213344,3.545858718184312,9.186500845739845,3.5466657272576714,4016,0.06301265,0.06301265,0.025683530418,0.000109758677,4.5554483537513075e-07,cross_combinations,False,True,n,0.9972514970058689,0.9695676222918012,2.1788632e-05,1.9742161e-05,6.4502722e-05,2.8723279e-05,0.00060934378,False,rc=0 wall_s=1825 iterations=4016 end=2026-09-05_03:07:46 host=Azan,0,0.033944352882156706,False,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.0024684734414129484
X008,0.0017224828129999998,0.38608479,0.39915329,0.0017059850000000001,0.39915329,0.0017791227189017246,0.0017791227189017246,0.015077311177133259,0.013982500000000002,0.013982500000000002,117,6.093288522072118,9.788224387866544,4.903788841557411,0.15209906219712307,9.076310852495476,1.5161366192696935,0.6978671122834168,1.382192873460885,6.093288522072118,0.6979140904766932,0.65,700.0,700.0,0.8929393981191132,0.9844661182085951,0.9988507643023543,0.9981654717004156,0.9986208181738748,0.9942699554105016,0.997822883140053,0.8929295505867894,0.9996374410709928,0.9942699554105016,67.54263703321114,16.092063695440135,67.54263703321114,10.08752180477481,2.98811792778,10.08752180477481,3.00000132,2.96394576,0.006,0.13758599714285716,MISSING,0.14358599714285716,9.100988200122904,85,85,85,0.14358599714285716,394.460198,372.600177,299.271016,368.629146,125.51019800000002,299.781902,298.15,300.147683,0.02802193907717409,394.039623,369.439963,125.51019800000002,0.00033272009419527143,False,66080,0.025967500000000004,False,1052.1325,2.8364149202999998,18.254190499999993,6.3812694999999735,0.7114690000000223,1.552530000000047,13.240624999999966,70.28639004388452,70.29112149999997,8.038393355979673,35.48988200000002,1.9790000000066357,1.9790000000066357,5.452877590733867,FC-40,Plate-Fin,medium,215.81100219290528,24.71693246656512,48.954259783524265,24.718596331805617,4053,0.06301265,0.06301265,0.31187166426,0.00133278489,6.002468986599613e-07,cross_combinations,False,True,n,0.997822883140053,0.8929295505867894,0.00019563391,0.00042683546,0.0017029292,0.00023871418,0.011079353,False,rc=0 wall_s=988 iterations=4053 end=2026-09-05_02:52:00 host=Azan,0,0.10737463063669554,False,envelope,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.029974320360014375
