wrote /home/azan/Openfoam/IJHMT_CFP/unit_cell_campaign/results/ledger_SalmiahFRGS21.csv 31 rows
C091 OR 1.0 Re 2 | dp 0.019 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 9.07% | Tbase max 672.36 C wall max 671.97 C | Nu nan h nan | R_base 0.92480 | it 4053 res_met False stat True acc False
C092 OR 1.0 Re 5 | dp 0.053 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 45.3% | Tbase max 530.79 C wall max 530.41 C | Nu nan h nan | R_base 0.72256 | it 4016 res_met False stat True acc False
C093 OR 1.0 Re 10 | dp 0.124 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 27.9% | Tbase max 487.77 C wall max 487.38 C | Nu nan h nan | R_base 0.66110 | it 4057 res_met False stat True acc False
C094 OR 1.0 Re 20 | dp 0.301 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 14.4% | Tbase max 422.29 C wall max 421.89 C | Nu nan h nan | R_base 0.56756 | it 4029 res_met False stat True acc False
C095 OR 1.0 Re 40 | dp nan Pa Phi_in nan Phi_mid nan | split nan% energy nan% | Tbase max nan C wall max nan C | Nu nan h nan | R_base nan | it 15 res_met False stat False acc False
C096 OR 1.0 Re 70 | dp 1.827 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 18.2% | Tbase max 287.39 C wall max 286.94 C | Nu nan h nan | R_base 0.37485 | it 4064 res_met True stat True acc False
C097 OR 1.0 Re 100 | dp 3.019 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 16.7% | Tbase max 275.76 C wall max 275.29 C | Nu nan h nan | R_base 0.35823 | it 3463 res_met True stat True acc False
C098 OR 1.0 Re 150 | dp 5.36 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 19.9% | Tbase max 258.90 C wall max 258.43 C | Nu nan h nan | R_base 0.33414 | it 2655 res_met True stat True acc False
C099 OR 1.0 Re 250 | dp 11.85 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 7.48% | Tbase max 252.25 C wall max 251.77 C | Nu nan h nan | R_base 0.32464 | it 1949 res_met True stat True acc False
E001 OR 0.0 Re 10 | dp 109.5 Pa Phi_in 0.0000 Phi_mid 0.0000 | split 0% energy 0.00143% | Tbase max 37.77 C wall max 37.34 C | Nu 8.472 h 295.9 | R_base 0.01824 | it 4530 res_met True stat True acc True
E002 OR 0.0 Re 40 | dp 475.1 Pa Phi_in 0.0000 Phi_mid 0.0000 | split 0% energy 0.000664% | Tbase max 33.91 C wall max 33.47 C | Nu 9.552 h 330.4 | R_base 0.01272 | it 2332 res_met True stat True acc True
E003 OR 0.0 Re 150 | dp 1847 Pa Phi_in 0.0000 Phi_mid 0.0000 | split 0% energy 0.000324% | Tbase max 32.11 C wall max 31.67 C | Nu 12.987 h 447.6 | R_base 0.01016 | it 1213 res_met True stat True acc True
E004 OR 0.1 Re 10 | dp 32.78 Pa Phi_in 0.3742 Phi_mid 0.6538 | split 2.09e-07% energy 0.0245% | Tbase max 46.31 C wall max 45.90 C | Nu nan h nan | R_base 0.03045 | it 11208 res_met False stat True acc False
E005 OR 0.1 Re 40 | dp 219.3 Pa Phi_in 0.2317 Phi_mid 0.5440 | split 1.57e-07% energy 0.00555% | Tbase max 35.84 C wall max 35.41 C | Nu 8.734 h 303.9 | R_base 0.01549 | it 7077 res_met True stat True acc True
E006 OR 0.1 Re 150 | dp 1154 Pa Phi_in 0.1618 Phi_mid 0.3729 | split 0% energy 0.0275% | Tbase max 32.78 C wall max 32.34 C | Nu 11.356 h 392.9 | R_base 0.01112 | it 1252 res_met True stat True acc True
E007 OR 0.2 Re 10 | dp 6.279 Pa Phi_in 0.6707 Phi_mid 0.8988 | split 0% energy 4.75% | Tbase max 73.40 C wall max 73.01 C | Nu 6.772 h 251.3 | R_base 0.06914 | it 4093 res_met False stat False acc False
E008 OR 0.2 Re 40 | dp 72.46 Pa Phi_in 0.5040 Phi_mid 0.8603 | split 0% energy 0.0639% | Tbase max 42.51 C wall max 42.10 C | Nu 8.598 h 303.0 | R_base 0.02501 | it 12000 res_met False stat True acc False
E009 OR 0.2 Re 150 | dp 611.1 Pa Phi_in 0.3529 Phi_mid 0.6789 | split 0% energy 0.0204% | Tbase max 33.95 C wall max 33.52 C | Nu 9.848 h 342.6 | R_base 0.01279 | it 2827 res_met True stat True acc True
E010 OR 0.3 Re 10 | dp 2.139 Pa Phi_in 0.7825 Phi_mid 0.9696 | split 1.55e-06% energy 1.44% | Tbase max 110.09 C wall max 109.71 C | Nu 4.484 h 174.9 | R_base 0.12155 | it 4069 res_met False stat True acc False
E011 OR 0.3 Re 40 | dp 24.59 Pa Phi_in 0.6923 Phi_mid 0.9536 | split 2e-07% energy 0.219% | Tbase max 58.71 C wall max 58.34 C | Nu 8.302 h 300.6 | R_base 0.04816 | it 12000 res_met False stat True acc False
E012 OR 0.3 Re 150 | dp 284.6 Pa Phi_in 0.5257 Phi_mid 0.8662 | split 1.54e-14% energy 0.0268% | Tbase max 36.33 C wall max 35.90 C | Nu 9.026 h 316.6 | R_base 0.01619 | it 7530 res_met True stat True acc True
E031 OR 1.0 Re 10 | dp 0.221 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 12.2% | Tbase max 435.38 C wall max 434.97 C | Nu nan h nan | R_base 0.58626 | it 4017 res_met False stat True acc False
E032 OR 1.0 Re 40 | dp 1.308 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 16.3% | Tbase max 295.40 C wall max 294.98 C | Nu nan h nan | R_base 0.38629 | it 4051 res_met False stat True acc False
E033 OR 1.0 Re 150 | dp 8.675 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 18.7% | Tbase max 238.83 C wall max 238.36 C | Nu nan h nan | R_base 0.30547 | it 2678 res_met True stat True acc False
G001 OR 0.1 Re 250 | dp 1299 Pa Phi_in 0.1465 Phi_mid 0.3160 | split 0% energy 0.145% | Tbase max 32.38 C wall max 31.96 C | Nu 12.360 h 436.4 | R_base 0.01054 | it 1312 res_met True stat True acc True
G002 OR 0.1 Re 250 | dp 1373 Pa Phi_in 0.1466 Phi_mid 0.3153 | split 1.79e-14% energy 0.0845% | Tbase max 32.38 C wall max 31.93 C | Nu 11.869 h 419.1 | R_base 0.01055 | it 1204 res_met True stat True acc True
L005 OR 1.0 Re 40 | dp 0.816 Pa Phi_in 1.0000 Phi_mid 1.0000 | split 0% energy 5.42% | Tbase max 175.16 C wall max 174.97 C | Nu nan h nan | R_base 0.50052 | it 4066 res_met False stat True acc False
